Kode Produk,Barcode,Nama Produk,Kategori,Vendor,PIC,Satuan,UOM DC,UOM Store,Konversi Store
LB0114,,SARI ROTI SOBEK DUO COKELAT SARIKAYA,Konsinyasi,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB0235,,SARI ROTI SOBEK DUO COKELAT STROBERI,Konsinyasi,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB0624,,SARI ROTI SOBEK DUO COKLAT KEJU,Konsinyasi,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB0634,,SARI ROTI TAWAR,Konsinyasi,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB3156,,SARI ROTI TAWAR KUPAS,Konsinyasi,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB0998,,SARI ROTI TAWAR MILKY SOFT,Konsinyasi,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB0638,,SARI ROTI TAWAR PANDAN MANIS,Konsinyasi,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB0639,,SARI ROTI TAWAR SPESIAL,Konsinyasi,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB2979,,SARI ROTI ZUPPER CREAMY CHOCO,Konsinyasi,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB2977,,SARI ROTI ZUPPER CREAMY MOCHA,Konsinyasi,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB2978,,SARI ROTI ZUPPER CREAMY SWEET,Konsinyasi,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB1948,,SARIMI ISI 2 AYAM BAWANG 115GR,Sembako,,,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 24.00 PCS,24
LB1950,,SARIMI ISI 2 BASO SAPI,Sembako,,,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 24.00 PCS,24
LB1949,,SARIMI ISI 2 GORENG AYAM KREMES 125GR,Sembako,,,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 24.00 PCS,24
LB1918,,SARIWANGI SARI MURNI KANTONG BUNDAR RENTENG 9GR,Sembako,,,RENTENG,1.00 RENTENG : 1.00 RENTENG,1.00 RENTENG : 12.00 PCS,12
LB1587,8999999195649,SARIWANGI TEH ASLI,Sembako,UD. SANUR BOJONEGORO,M MUJAHIDIN,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB1919,,SARIWANGI TEH ASLI RENTENG 9GR,Sembako,,,RENTENG,1.00 RENTENG : 1.00 RENTENG,1.00 RENTENG : 6.00 PCS,6
LB1588,8999999031602,SARIWANGI TEH SARI MURNI,Sembako,UD. SANUR BOJONEGORO,M MUJAHIDIN,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB2181,,SASA MICIN 17GR,Sembako,,,PACK,1.00 PACK : 1.00 PACK,1.00 PACK : 20.00 PCS,20
