Kode Produk,Barcode,Nama Produk,Kategori,Vendor,PIC,Satuan,UOM DC,UOM Store,Konversi Store
LB3802,5803802,89 CUKA APEL 500 ML,Minuman,GRX CUKA APPLE (SNACK),M KHOIRUL UMAM,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB1827,711844115057,ABC KECAP ASIN 131ML,Sembako,CV MITRA SEJATI DISTRIBUSI,EKO SUYANTO,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB2083,711844110762,ABC KECAP EXTRA PEDAS 135ML,Sembako,CV MITRA SEJATI DISTRIBUSI,EKO SUYANTO,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB1828,711844110700,ABC KECAP PEDAS 135ML,Sembako,CV MITRA SEJATI DISTRIBUSI,EKO SUYANTO,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB4890,28991002122035,ABC KOPI SUSU BRAZILIAN COFFE 200ML,Minuman,PT FASTRATA BUANA,PRASETYO PAMBUDI,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB1634,711844120037,ABC SAMBAL ASLI 130ML,Sembako,CV MITRA SEJATI DISTRIBUSI,EKO SUYANTO,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB0997,711844120419,ABC SAMBAL ASLI 270ML,Sembako,CV MITRA SEJATI DISTRIBUSI,EKO SUYANTO,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB1792,711844120082,ABC SAMBAL EXTRA PEDAS 130ML,Sembako,CV MITRA SEJATI DISTRIBUSI,EKO SUYANTO,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB2715,,ABC SARI KACANG HIJAU 250ML,Minuman,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 24.00 PCS,24
LB2135,711844130111,ABC SAUS TOMAT 130 ML,Sembako,CV MITRA SEJATI DISTRIBUSI,EKO SUYANTO,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB2134,711844130128,ABC SAUS TOMAT 275 ML,Sembako,CV MITRA SEJATI DISTRIBUSI,EKO SUYANTO,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB4444,,ABC SPESIAL COCOPANDAN 460ml,Seasonal,,,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 12.00 PCS,12
LB4445,,ABC SPESIAL MELON 460ML,Seasonal,,,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 12.00 PCS,12
LB3279,,ABC SQUASH JERUK FLORIDA 450ml,Seasonal,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB4446,,ABC SQUASH LECI 450ML,Seasonal,,,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 12.00 PCS,12
LB4447,,ABC SQUASH NANAS 450ML,Seasonal,,,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 12.00 PCS,12
LB4400,711844340008,ABC TERASI UDANG 76gr,Sembako,CV MITRA SEJATI DISTRIBUSI,EKO SUYANTO,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB3105,,ABON AYAM BESUKI JAYA 1KG,Sembako,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB3204,,ABON DAGING AYAM CAP AYAM MAS 2 KG,Sembako,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 1.00 BOX,1
LB3203,,ABON DAGING SAPI WAHID 5 KG,Sembako,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 1.00 BOX,1
LB3235,,ABON SAPI CAP BERUANG PUTIH ORIGINAL 1 KG,Sembako,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB3188,,ABON SAPI CAP KAKAK TUA 1KG,Sembako,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB0200,8992772586016,ADEM SARI CHINGKU 320ml,Minuman,P.T SUPRALITA MANDIRI,M KHOIRUL UMAM,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 24.00 PCS,24
LB0322,,ADEM SARI SPARKLING 320ml,Minuman,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 24.00 PCS,24
LB5015,8997239630103,ADEMSARI SPARKLING LIME 7GR,Sembako,P.T SUPRALITA MANDIRI,M MUJAHIDIN,PACK,1.00 PACK : 1.00 PACK,1.00 PACK : 24.00 PCS,24
LB3322,,AFCO AYAM PARTING,Frozen food,,,KG,1.00 KG : 1.00 KG,1.00 KG : 1.00 KG,1
LB5507,8994442201229,AGAR HOKIKU HIJAU 7GR,Sembako,GROSIR,ADITYA,PACK,1.00 PACK : 1.00 PACK,1.00 PACK : 12.00 PCS,12
LB5506,8994442201120,AGAR HOKIKU MERAH 7GR,Sembako,GROSIR,ADITYA,PACK,1.00 PACK : 1.00 PACK,1.00 PACK : 12.00 PCS,12
LB5508,8994442201021,AGAR HOKIKU PUTIH 7GR,Sembako,GROSIR,ADITYA,PACK,1.00 PACK : 1.00 PACK,1.00 PACK : 12.00 PCS,12
LB2211,8997220180150,AGAR SWALLOW GLOBE COKLAT 7GR,Sembako,PT PUJI SURYA INDAH,M ROISUL ANAM,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB1559,8997220180136,AGAR SWALLOW GLOBE HIJAU 7GR,Sembako,PT PUJI SURYA INDAH,M ROISUL ANAM,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB1561,8997220180112,AGAR SWALLOW GLOBE MERAH 7GR,Sembako,PT PUJI SURYA INDAH,M ROISUL ANAM,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB1563,8997220180099,AGAR SWALLOW GLOBE PUTIH 7GR,Sembako,PT PUJI SURYA INDAH,M ROISUL ANAM,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB1562,,AGAR SWALLOW MATAHARI COKLAT 7GR,Sembako,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB1564,,AGAR SWALLOW MATAHARI HIJAU 7GR,Sembako,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB1560,,AGAR SWALLOW MATAHARI MERAH 7GR,Sembako,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB2071,,AGAR SWALLOW MATAHARI PUTIH,Sembako,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB0594,,AGAR-AGAR HOKIKU 7GR,Kebutuhan,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB1914,,AGAR-AGAR SATELIT HIJAU,Sembako,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB2183,,AGARASA COKLAT 10GR,Sembako,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 6.00 PCS,6
LB1554,,AGARASA COKLAT 22GR,Sembako,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 6.00 PCS,6
LB1556,,AGARASA MELON 10GR,Sembako,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 6.00 PCS,6
LB1555,,AGARASA STROBERI 10GR,Sembako,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 6.00 PCS,6
LB2074,,AGARASA VANILA 10GR,Sembako,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 6.00 PCS,6
LB1294,,AICE 2 COLORS STICK,Konsinyasi,,,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 40.00 PCS,40
LB0038,,AICE 3 in 1,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 27.00 PCS,27
LB3016,,AICE BANANA CRISPY,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 30.00 PCS,30
LB3077,,AICE BELGIAN BERRY CHOCO,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 30.00 PCS,30
LB2059,,AICE BINGO COOKIES CONE,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 24.00 PCS,24
LB2216,,AICE BLUEBERRY COOKIES,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 24.00 PCS,24
LB0653,,AICE BOBA MILK TEA,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 30.00 PCS,30
LB1117,,AICE CHOCO BOOST,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 30.00 PCS,30
LB0005,,AICE CHOCO COOKIS,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 40.00 PCS,40
LB1829,,AICE CHOCO MALT,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 50.00 PCS,50
LB0013,,AICE CHOCO MEETS OATS 60gr,Konsinyasi,,,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 25.00 PCS,25
LB3078,,AICE CHOCOLATE ALMOND,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 30.00 PCS,30
LB0007,,AICE CHOCOLATE CRISPY,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 30.00 PCS,30
LB0009,,AICE CHOCOLATE STIK (BINGO),Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 50.00 PCS,50
LB0094,,AICE CHOCOLATE STRIKE,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 20.00 PCS,20
LB0011,,AICE COFFE CRISPY,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 40.00 PCS,40
LB1431,,AICE COFFEE MACHIATO,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB1429,,AICE CONE CHOCO BERRY MAX,Konsinyasi,,,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 24.00 PCS,24
LB2703,,AICE CONE CHOCO MELT,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 24.00 PCS,24
LB0006,,AICE CONE CHOCOLATE MAX,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 24.00 PCS,24
LB3239,,AICE CORN WONDERLAND,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 30.00 PCS,30
LB3574,,AICE CRISPY BALLS,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 30.00 PCS,30
LB4152,,AICE DOUBLE CHOCOLATE CRISPY,Konsinyasi,,,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 30.00 PCS,30
LB1344,,AICE DURIAN CUP,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 24.00 PCS,24
LB4257,,AICE DURIAN STICK 65 ML,Konsinyasi,,,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 40.00 PCS,40
LB0014,,AICE ES JERUK,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 50.00 PCS,50
LB1342,,AICE FREEZY CHOCO,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 50.00 PCS,50
LB0015,,AICE FRUIT TWISTER,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 40.00 PCS,40
LB0906,,AICE FRUIZZY BLUEBERY YOGHURT,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 40.00 PCS,40
LB1701,,AICE FRUIZZY GRAPE,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 50.00 PCS,50
LB3705,,AICE FRUIZZY LYCHEE YOGHURT,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 50.00 PCS,50
LB0348,,AICE HISTERIA,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 24.00 PCS,24
LB4489,,AICE HISTERIA MATCHA,Konsinyasi,,,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 24.00 PCS,24
LB3241,,AICE HISTERIA PEACH FLAVOUR,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 24.00 PCS,24
LB2947,,AICE JAGUNG CRISPY,Konsinyasi,,,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 30.00 PCS,30
LB2388,,AICE JUJU APPLE STICK,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 40.00 PCS,40
LB1127,,AICE KETAN KISMIS,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 40.00 PCS,40
LB3360,,AICE LOLLY PINEAPPLE,Konsinyasi,,,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 40.00 PCS,40
LB0016,,AICE MANGO SLUSH,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 30.00 PCS,30
LB3491,,AICE MANGO SLUSH FAT LESS SUGAR,Konsinyasi,,,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 30.00 PCS,30
LB1122,,AICE MARKISA,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 50.00 PCS,50
LB0060,,AICE MAXI VANCHOCO,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 30.00 PCS,30
LB0916,,AICE MIKI MIKI DOUBLE CHOCO,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 60.00 PCS,60
LB0018,,AICE MIKI-MIKI VANILLA LAPIS COKLAT,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 60.00 PCS,60
LB2673,,AICE MILK CEREAL,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 40.00 PCS,40
LB0019,,AICE MILK MELON,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 40.00 PCS,40
LB0012,,AICE MILK MELON CONE,Konsinyasi,,,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 24.00 PCS,24
LB0020,,AICE MILK STIK (FUNKY),Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 50.00 PCS,50
LB3347,,AICE MOCHI BANANA,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 40.00 PCS,40
LB0021,,AICE MOCHI CHOCOLATE,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 40.00 PCS,40
LB0022,,AICE MOCHI DURIAN,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 40.00 PCS,40
LB1168,,AICE MOCHI KLEPON,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 40.00 PCS,40
LB4478,,AICE MOCHI MANGGA,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 40.00 PCS,40
LB2396,,AICE MOCHI MILK TEA,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 40.00 PCS,40
LB3368,,AICE MOCHI PEACH,Konsinyasi,,,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 40.00 PCS,40
LB1099,,AICE MOCHI STRAWBERRY,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 40.00 PCS,40
LB0024,,AICE MOCHI VANILA,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 40.00 PCS,40
LB2711,,AICE MOONG BEAN,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 30.00 PCS,30
LB0025,,AICE NANAS,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 50.00 PCS,50
LB3517,,AICE RIA RIA KACANG HIJAU,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 50.00 PCS,50
LB0027,,AICE SEMANGKA,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 50.00 PCS,50
LB4405,,AICE SESAME CHOCOLATE CRISPY,Konsinyasi,,,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 30.00 PCS,30
LB1106,,AICE STICK GOAL,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 24.00 PCS,24
LB2702,,AICE STRAWBERRY CONE,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 24.00 PCS,24
LB0029,,AICE STRAWBERRY CRISPY STIK,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 40.00 PCS,40
LB0031,,AICE SUNDAE CHOCOLATE,Konsinyasi,,,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 24.00 PCS,24
LB0032,,AICE SUNDAE STRAWBERRY,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 24.00 PCS,24
LB0034,,AICE SWEET CORN,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 40.00 PCS,40
LB0036,,AICE TARO CRISPY,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 40.00 PCS,40
LB4174,,AICE VANILLA BERRY SUNDAE,Konsinyasi,,,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 24.00 PCS,24
LB1138,,AICE VANILLA CHOCOLATE CUP,Konsinyasi,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 24.00 PCS,24
LB3094,,AIR GALON ISI ULANG,Minuman,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB1613,8992770077769,AJINOMOTO 90GR,Sembako,PT. AJINOMOTO SALES INDONESIA,AGUS PURNOMO,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB5819,8995078300041,AKE 1500ML,Minuman,CV ANDHIKA,M KHOIRUL UMAM,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 12.00 PCS,12
LB4760,,ALPUKAT FROZEN 500gr,Frozen food,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB4391,8992628605151,AMANDA MARGARINE SERBAGUNA 200GR,Sembako,SAKTI SETIA SENTOSA,DANANG IMAM SANTOSO,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB4597,,AMPLOP MERPATI KECIL HIJAU,Kebutuhan,,,PACK,1.00 PACK : 1.00 PACK,1.00 PACK : 100.00 PCS,100
LB4596,,AMPLOP MERPATI TANGGUNG,Kebutuhan,,,PACK,1.00 PACK : 1.00 PACK,1.00 PACK : 100.00 PCS,100
LB3755,,ANEKA BISKUIT SQUARE PUFF 300GR,Snack,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 24.00 PCS,24
LB1105,,ANTANGIN CANDY HERBAL,Snack,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB0987,,ANTANGIN JRG SIRUP HERBAL 15ml,Minuman,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB1098,,ANTANGIN MINT SIRUP HERBAL 15ml,Minuman,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB2251,,AOKA ROTI PANGGANG RASA COKLAT 65gr,Snack,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 60.00 PCS,60
LB0056,8886008101091,AQUA 1500,Minuman,PT JAYA MULIA,PRASETYO PAMBUDI,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB0002,,AQUA 220ML,Minuman,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 1.00 BOX,1
LB0057,8886008101053,AQUA 600,Minuman,PT JAYA MULIA,PRASETYO PAMBUDI,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 24.00 PCS,24
LB0001,,AQUA GALON 19L,Minuman,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB6201,,AQUVIVA 250ml,Minuman,,,PACK,1.00 PACK : 1.00 PACK,1.00 PACK : 1.00 PACK,1
LB4865,8998866632287,AQUVIVA 700ML,Minuman,PT INTI NIAGA PRANASARI BJN,ADITYA,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB0989,,AROMANIS HOLYGOOD 100gr,Snack,,,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 10.00 PCS,10
LB6225,,AS,Snack,,,PACK,1.00 PACK : 1.00 PACK,1.00 PACK : 1.00 PACK,1
LB7898,8993207223186,ASIMO NAGET 250GR,Frozen food,PT JERINDO JAYA ABADI,PRASETYO PAMBUDI,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB2707,,ASIMO NAGET KOMBINASI BENTUK S 250gr,Frozen food,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB0323,,ASIMO NAGET STICK AYAM 250gr,Frozen food,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB0260,,ASIMO NAGGET KOMBINASI 250gr,Frozen food,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB3050,,ASIMO NUGET KOMBINASI BENTUK S 450gr,Frozen food,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB4282,,ASTOR KERO KERO CHOCOLATE 400GR,Seasonal,,,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 6.00 PCS,6
LB4284,,ASTOR KERO KERO CHOCOLATE X-TRA LONG 600GR,Seasonal,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 6.00 PCS,6
LB6577,,ASTOR KERO KERO SPESIAL VANILA 650GR,Seasonal,,,PACK,1.00 PACK : 1.00 PACK,1.00 PACK : 6.00 PCS,6
LB3150,,ASTOR TOPLES KERO-KERO 400GR,Seasonal,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 6.00 PCS,6
LB3151,,ASTOR TOPLES VOVO 300GR,Seasonal,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 6.00 PCS,6
LB4647,,AUTAN FLORAL DAN PROTECT 6ML,Kebutuhan,,,RENTENG,1.00 RENTENG : 1.00 RENTENG,1.00 RENTENG : 12.00 PCS,12
LB3531,,AYAM FROZEN,Frozen food,,,KG,1.00 KG : 1.00 KG,1.00 KG : 1.00 KG,1
LB4437,,AYAM JOPER UNGKEP,Frozen food,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB2189,,BABY CRAB,Frozen food,,,PACK,1.00 PACK : 1.00 PACK,1.00 PACK : 1.00 PACK,1
LB5655,,BAK KENDURI BULAT,Kebutuhan,,,PCS,1.00 LUSIN : 1.00 LUSIN,1.00 LUSIN : 12.00 PCS,12
LB5653,,BAK KENDURI MAWAR,Kebutuhan,,,PCS,1.00 LUSIN : 1.00 LUSIN,1.00 LUSIN : 12.00 PCS,12
LB3024,,BAKERINE PLUS 500GR,Sembako,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 20.00 PCS,20
LB4404,,BAKSO DAGING SAPI UNYIL 250GR,Frozen food,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB4403,8993200000005,BAKSO KANZLER SINGLES GOCHUJANG,Frozen food,PT. TIRTA PRIMA RASA,MOHAMMAD AMINUDIN,PACK,1.00 PACK : 1.00 PACK,1.00 PACK : 12.00 PCS,12
LB2971,8993200669127,BAKSO KANZLER SINGLES HOT,Frozen food,PT. TIRTA PRIMA RASA,MOHAMMAD AMINUDIN,PACK,1.00 PACK : 1.00 PACK,1.00 PACK : 12.00 PCS,12
LB2972,8993200669110,BAKSO KANZLER SINGLES KEJU,Frozen food,PT. TIRTA PRIMA RASA,MOHAMMAD AMINUDIN,PACK,1.00 PACK : 1.00 PACK,1.00 PACK : 12.00 PCS,12
LB2970,8993200669103,BAKSO KANZLER SINGLES ORIGINAL,Frozen food,PT. TIRTA PRIMA RASA,MOHAMMAD AMINUDIN,PACK,1.00 PACK : 1.00 PACK,1.00 PACK : 12.00 PCS,12
LB6650,8997009538578,BALIMAS ROPANG COKELAT 60GR,Snack,CV MITRA SEJATI DISTRIBUSI,M ROISUL ANAM,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 60.00 PCS,60
LB6651,8997009538493,BALIMAS ROPANG PANDAN SARIKAYA 60GR,Snack,CV MITRA SEJATI DISTRIBUSI,M ROISUL ANAM,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 60.00 PCS,60
LB4659,,BALSEM LANG 10GR,Kebutuhan,,,PACK,1.00 PACK : 1.00 PACK,1.00 PACK : 12.00 PCS,12
LB4664,,BALSEM LANG 20GR,Kebutuhan,,,PACK,1.00 PACK : 1.00 PACK,1.00 PACK : 12.00 PCS,12
LB4651,,BALSEM OTOT GELIGA 20GR,Kebutuhan,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB1592,8990121011073,BANGO KECAP MANIS 189gr,Sembako,UD. SANUR BOJONEGORO,M MUJAHIDIN,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB1846,,BANGO KECAP MANIS 20ML,Sembako,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 144.00 PCS,144
LB3464,8999999533496,BANGO KECAP MANIS 25G,Sembako,UD. SANUR BOJONEGORO,M MUJAHIDIN,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 144.00 PCS,144
LB4293,8999999593223,BANGO KECAP MANIS 265GR,Sembako,UD. SANUR BOJONEGORO,M MUJAHIDIN,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 24.00 PCS,24
LB4294,8999999210748,BANGO KECAP MANIS 700GR,Sembako,UD. SANUR BOJONEGORO,M MUJAHIDIN,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 12.00 PCS,12
LB1586,,BANGO KECAP MANIS LIGHT REFILL 550ML,Sembako,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB1710,,BANGO KECAP MANIS REFILL 520ML,Sembako,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB1589,,BANGO KECAP MANIS SOYA 60ML,Sembako,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 48.00 PCS,48
LB3460,8999999514006,BANGO KECAP MANIS SOYA 77G,Sembako,UD. SANUR BOJONEGORO,M MUJAHIDIN,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 48.00 PCS,48
LB1348,,BASRENG MBAK UNA IKAN,Snack,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB1022,,BASRENG MBAK UNA ORIGINAL,Snack,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB3519,,BASTIK ORIGINAL JEDEPE 2KG,Grosir,,,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 2.00 KG,2
LB1374,,BASTIK PEDAS JEDEPE 2KG,Grosir,,,BALL,1.00 BALL : 1.00 BALL,1.00 BALL : 2.00 KG,2
LB4682,,BATERAI ABC A2,Kebutuhan,,,PACK,1.00 PACK : 1.00 PACK,1.00 PACK : 24.00 PCS,24
LB4683,,BATERAI ABC A3,Kebutuhan,,,PACK,1.00 PACK : 1.00 PACK,1.00 PACK : 12.00 PCS,12
